#    Spectral     log T    log(L/Lsun)
#       Type        (K)
         O9V       4.531        4.77
       O9.5V       4.505        4.67
         B0V       4.498        4.65
       B0.5V       4.462        4.47
         B1V       4.415        4.13
       B1.5V       4.394        3.89
         B2V       4.314        3.38
       B2.5V       4.267         3.1
         B3V        4.23        2.96
         B4V       4.223        2.81
         B5V       4.196        2.71
         B6V       4.161        2.54
         B7V       4.146        2.47
         B8V       4.097        2.24
         B9V       4.029        1.86
       B9.5V       4.017        1.71
         A0V       3.987        1.54
         A1V       3.965        1.41
         A2V       3.946        1.33
         A3V       3.932        1.29
         A4V       3.917         1.2
         A5V       3.907        1.16
         A6V       3.903        1.14
         A7V       3.892        1.06
         A8V       3.874        0.97
         A9V       3.872        0.97
         F0V       3.857        0.89
         F1V       3.847        0.77
         F2V       3.833         0.7
         F3V       3.827        0.67
         F4V       3.822        0.61
         F5V       3.814        0.54
         F6V       3.802        0.43
         F7V       3.795        0.36
         F8V       3.789        0.31
         F9V       3.781        0.26
         G0V       3.772        0.17
         G1V       3.769        0.13
         G2V       3.761        0.01
         G3V       3.757       -0.01
         G4V       3.754       -0.04
         G5V       3.753       -0.05
         G6V       3.747       -0.11
         G7V       3.743       -0.12
         G8V       3.734       -0.17
         G9V       3.728       -0.25
         K0V       3.723       -0.33
         K1V       3.713       -0.37
         K2V       3.706       -0.47
         K3V       3.685       -0.58
         K4V       3.665       -0.71
         K5V       3.648       -0.75
         K6V       3.623       -0.92
         K7V       3.607       -1.04
         K8V       3.599       -1.12
         K9V       3.589       -1.22
         M0V       3.585       -1.26
         M1V       3.566       -1.42
         M2V        3.55       -1.57
         M3V       3.531       -1.78
         M4V       3.505        -2.2
         M5V       3.484       -2.52
         M6V       3.447       -3.02
         M7V       3.423       -3.21
         M8V        3.41       -3.35
